THIS FILE MUST BE VIEWED FULL SCREEN
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
			Questions																												Predicted		Actual
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
What Southern California town is named after a character made famous by Edgar Rice Burroughs ?                                        HUM:ind      LOC:city
Where is Rider College located ?                                                                                                      LOC:other    LOC:other
In what war was the first submarine used ?                                                                                            NUM:date     ENTY:event
What country has the port of Haifa ?                                                                                                  LOC:country  LOC:country
What was the name of the Protestant revolt against the supremacy of the Pope ?                                                        HUM:ind      ENTY:event
What character in The Beverly Hillbillies has the given names Daisy Moses ?                                                           HUM:ind      HUM:ind
Which drug is commonly used to treat AIDS ?                                                                                           ENTY:dismed  ENTY:dismed
Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?                                                   ENTY:other   HUM:ind
What is another name for nearsightedness ?                                                                                            ENTY:termeq  ENTY:termeq
What Scandinavian country covers 173 , 732 square miles ?                                                                             LOC:country  LOC:country
What is Stefan Edberg 's native country ?                                                                                             LOC:country  LOC:country
What do you need to do to marry someone in jail ?                                                                                     ENTY:other   DESC:desc
What was the Great Britain population from 1699-172 ?                                                                                 NUM:count    NUM:count
What is the length of border between the Ukraine and Russia ?                                                                         DESC:def     NUM:dist
Who was The Pride of the Yankees ?                                                                                                    HUM:desc     HUM:ind
What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?                                                    ENTY:instru  ENTY:instru
When was the first Wall Street Journal published ?                                                                                    NUM:date     NUM:date
Who is the President of Ghana ?                                                                                                       HUM:ind      HUM:ind
What is the abbreviation for micro ?                                                                                                  ABBR:exp     ABBR:abb
What is after death ?                                                                                                                 DESC:def     ENTY:other
Who is the Queen of Holland ?                                                                                                         HUM:desc     HUM:ind
What is a fear of fur ?                                                                                                               ENTY:dismed  ENTY:dismed
What sports magazine has the largest circulation ?                                                                                    ENTY:sport   ENTY:cremat
What is the origin of the word , JJ .                                                                                                 DESC:desc    DESC:desc
Where are the apartments in Saint John , New Brunswick ?                                                                              LOC:other    LOC:other
How many gallons of water go over Niagra Falls every second ?                                                                         NUM:count    NUM:count
On which Hawaiian island is Pearl Harbor ?                                                                                            NUM:date     LOC:other
What time does Wee Willie Winkie run through the town ?                                                                               NUM:date     NUM:date
Where are the busiest Amtrak rail stations in the U.S. ?                                                                              LOC:other    LOC:other
What Shakespeare play opens with the line : `` Now is the winter of our discontent.. . '' ?                                           ENTY:other   ENTY:cremat
What 's the difference between carelessness and carefreeness ?                                                                        DESC:def     DESC:desc
What are manifest and latent function theories ?                                                                                      DESC:reason  DESC:def
Where was the Ligurian Republic , 1797-185 , ?                                                                                        LOC:other    LOC:other
What southeast Asian country has the Wang River joining the Ping River at Tak ?                                                       LOC:country  LOC:country
Where was chop suey invented ?                                                                                                        DESC:desc    LOC:other
